"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd.pledged"
"14",678506202,"Oh'Pal – The Disposable Toothbrush with a Social Purpose!","Product Design","Design","USD","3/1/17",40000,"1/30/17 16:34",5449,"failed",56,"US",729
"15",2103381919,"Anura: The Beginning of the Drone Era for the Masses","Product Design","Design","USD","12/20/14",1e+05,"10/21/14 5:05",147509,"canceled",716,"US",147509
"16",872160570,"""The Death Of Small Towns""","Illustration","Art","USD","2/19/13",50000,"1/20/13 16:28",5,"failed",1,"US",5
"17",137056592,"The Battle of Ido","Action","Film & Video","USD","11/22/17",12000,"9/23/17 18:38",0,"failed",0,"US",0
"18",1011079021,"Ed-U-Cards ""Games to Grow Up With"" w/ Letterpress Editions","Games","Games","USD","12/22/12",30000,"11/17/12 4:32",297,"canceled",11,"US",297
"19",1159792166,"Bees and Honey, Hives and Mead! VilleBilly Bees is Buzzin'","Farms","Food","CAD","11/15/14",4000,"10/16/14 21:04",4084,"successful",66,"CA",3610.86
"20",1118558945,"Young Justice: MetaHuman Task Force","Webseries","Film & Video","USD","7/14/14",20000,"5/15/14 2:38",170,"failed",4,"US",170
"21",1584765371,"Enchanted Kingdom - A thinking game","Video Games","Games","GBP","10/10/14",6150,"8/11/14 20:05",434.25,"failed",23,"GB",728.46
"22",2094209985,"The Learning Center at Greystone Farm","Food","Food","USD","2/23/14",165000,"1/19/14 23:02",8507,"failed",62,"US",8507
"23",746066250,"Photographing the Crazy, Teton, and Wasatch Mountains","Photography","Photography","USD","6/14/13",1600,"5/15/13 16:48",0,"canceled",0,"US",0
"24",1793267011,"West Park Food Hall","Spaces","Food","USD","11/15/17",119000,"10/16/17 18:01",123656,"successful",604,"US",525
"25",1844968337,"Insolence Clothing Launch","Fashion","Fashion","GBP","6/20/14",2000,"4/21/14 22:51",2105,"successful",71,"GB",3534.64
"26",1446075216,"Raccoon Tail","Design","Design","USD","7/3/13",5000,"6/3/13 15:36",3569,"failed",60,"US",3569
"27",1692904458,"There is ""Chaos In Eden""! Let's find Zaine's Teddy!","Comics","Comics","USD","3/20/15",2000,"2/18/15 22:12",139,"failed",4,"US",139
"28",1857893800,"The next big thing in mobile entertainment! (Canceled)","Apps","Technology","GBP","12/12/14",5000,"11/12/14 9:49",71,"canceled",7,"GB",112.52
"29",790132241,"Pembroke Circle Feature","Narrative Film","Film & Video","USD","4/30/12",15000,"3/16/12 1:36",15435,"successful",185,"US",15435
"30",1916624195,"Illustrated Children's Book: Annie Just Wants To Play","Children's Books","Publishing","USD","6/5/16",5000,"5/6/16 23:25",6138,"successful",102,"US",6138
"31",562552827,"The Curmudgeon Code","Fiction","Publishing","USD","10/1/15",4100,"9/1/15 6:55",620,"failed",11,"US",620
"32",1590797776,"Omniversal: Realmer X #1","Comic Books","Comics","USD","12/12/16",2500,"11/10/16 13:20",521,"failed",24,"US",0
"33",654147424,"""Divine Revelations""","Fashion","Fashion","USD","11/10/13",10000,"9/26/13 23:44",515,"failed",3,"US",515
"34",1482637141,"Paralegals online","Publishing","Publishing","USD","4/7/15",5000,"2/7/15 2:24",5,"undefined",0,"N,0""",NA
"35",513036357,"Sky Bridge Saga: A Steampunk Series - Book One","Fiction","Publishing","USD","12/17/13",190,"12/5/13 21:02",381,"successful",23,"US",381
"36",48213367,"Fashion Leather Bag Collection by sizhfleür","Fashion","Fashion","USD","9/1/12",75000,"7/18/12 22:53",11,"failed",2,"US",11
"37",285675542,"Shutters On The Windows","Journalism","Journalism","USD","5/29/15",2500,"4/29/15 21:50",0,"failed",0,"US",0
"38",1548361350,"Clover Lantern","Product Design","Design","USD","7/6/16",120000,"6/6/16 15:01",4929,"failed",52,"US",4929
"39",1701715569,"R-Women","Photography","Photography","EUR","12/16/15",20000,"11/17/15 16:16",221,"failed",10,"IT",236.98
"40",976766617,"MNSTR - A Short Film","Shorts","Film & Video","USD","2/1/16",13500,"1/6/16 18:23",17022,"successful",61,"US",17022
"41",350813386,"Historical Gladiator fights","Action","Film & Video","CAD","4/30/15",15000,"3/16/15 15:11",10,"failed",1,"CA",7.82
"42",1897175530,"TEDDY BOY - Feature Film","Narrative Film","Film & Video","USD","4/16/12",33333,"3/14/12 10:33",35633,"successful",244,"US",35633
"43",1212115674,"Help bring ""One Nation Under God"" to Broadway","Theater","Theater","USD","10/11/12",11000,"8/27/12 20:26",125,"failed",2,"US",125
"44",1746510020,"Dump on You","Apps","Technology","USD","4/26/15",500,"3/27/15 21:08",0,"failed",0,"US",0
"45",1934367482,"On And After -Boston's Epic Crime Boss ""Whitey"" Feature Film","Narrative Film","Film & Video","USD","10/6/11",25000,"8/22/11 21:34",25,"failed",1,"US",25
"46",255099073,"Dunkirk: France 1940","Tabletop Games","Games","USD","8/8/17",5000,"7/18/17 0:07",15181,"successful",193,"US",9457
"47",337352672,"Mitzi's National Duolian EP","Indie Rock","Music","USD","7/20/13",475,"7/3/13 17:44",805,"successful",20,"US",805
"48",1700403759,"CardBORED Case - 100% recycled and biodegradable iPhone case","Product Design","Design","USD","1/18/15",3000,"12/11/14 22:01",615,"failed",18,"US",615
"49",352966921,"SCHIZ - New Writing at Edinburgh Fringe","Plays","Theater","GBP","7/30/17",1000,"6/1/17 17:34",1000,"successful",8,"GB",0
"50",1104430801,"If you need to laugh, you need to U.R.G.E.!","Tabletop Games","Games","USD","4/24/14",17648,"3/18/14 0:59",534,"failed",21,"US",534
"51",193573642,"Let's restore two 19th century canons on a undercarriage","Public Art","Art","EUR","10/30/16",4750,"9/30/16 14:08",8,"failed",4,"NL",0
"52",1406111283,"Marc Jules -Teen Magazine spotlighting today's young adults","Young Adult","Publishing","USD","11/29/17",20000,"10/23/17 16:00",445,"failed",11,"US",350
"53",1130785929,"Capture a moment with a Sculpture","Crafts","Crafts","USD","10/7/17",750,"9/7/17 16:12",0,"canceled",0,"US",0
"54",680158252,"Obtainn - Making It Easier For You to Learn","Web","Technology","CAD","8/17/14",30000,"7/18/14 20:09",5673,"failed",19,"CA",5281.23
"55",285493865,"???Mafia The Party Game Card Set","Tabletop Games","Games","USD","11/22/13",600,"10/22/13 3:46",1542,"successful",80,"US",1542
"56",1346903229,"The KeepScore Baseball Scorebook","Nonfiction","Publishing","USD","6/23/12",17500,"5/24/12 23:36",531,"failed",9,"US",531
"57",607994480,"handheld 12v power spreader quiet, smooth,effortless","Technology","Technology","USD","8/6/15",12000,"7/7/15 17:21",0,"failed",0,"US",0
"58",772125195,"Dreams Can Come True with Construct Foods","Bacon","Food","USD","9/4/15",20000,"7/21/15 20:30",0,"failed",0,"US",0
"59",834728059,"Designer Nary Manivong launches fashion collection!","Fashion","Fashion","USD","3/8/13",25000,"1/31/13 5:46",5435,"failed",61,"US",5435
"60",1725740315,"Salto - Captures your every move. VR, AR, film, VFX, gaming","Wearables","Technology","USD","10/22/15",1e+05,"9/22/15 13:59",118534,"successful",223,"US",118534
"61",1202314080,"Help Leslie Rock & Release","Rock","Music","USD","2/23/11",7500,"1/18/11 3:15",8465,"successful",121,"US",8465
"62",1699577995,"Help Infinity Project record their debut EP!","Rock","Music","USD","11/4/11",4000,"9/5/11 17:08",4125,"successful",36,"US",4125
"63",197968420,"""Playborg Photographer"" - An Eternal Short Story","Fiction","Publishing","USD","3/4/10",450,"1/11/10 16:11",116,"failed",14,"US",116
"64",432586827,"HELP DREAMING DEAD PRESS THEIR NEW ALBUM!","Rock","Music","USD","4/21/12",5000,"3/28/12 20:10",5651.66,"successful",103,"US",5651.66
"65",26688088,"No Man's Land","Fiction","Publishing","GBP","9/12/15",7500,"8/13/15 13:15",0,"failed",0,"GB",0
"66",1060903339,"ETHEL's Documerica — Make It Happen!","Classical Music","Music","USD","11/23/12",10000,"10/24/12 15:53",12216,"successful",110,"US",12216
"67",5442098,"Jodi Marie's First Official Music Video","Indie Rock","Music","USD","5/22/13",1555,"4/25/13 4:06",1585,"successful",48,"US",1585
"68",2038170312,"SOLAR SACK Backpack... Solar power on the move!","Product Design","Design","USD","10/15/16",3500,"9/6/16 13:23",5140,"successful",75,"US",366
"69",1937654815,"Super Mario 64 Inspired Video Game For IOS And Android.","Mobile Games","Games","CAD","6/9/17",25000,"4/10/17 3:55",45,"canceled",3,"CA",33.56
"70",1269509050,"Help Inspire the Escape with the Conscious Foundation","Experimental","Theater","GBP","12/14/14",3100,"11/8/14 0:51",89,"canceled",6,"GB",142.05
"71",2093508384,"Artillery Artist book/Gallery show","Art","Art","USD","4/21/11",1200,"2/19/11 20:04",2251,"successful",44,"US",2251
"72",1368357463,"StryteEdge-Workshop: Custom Wooden Swords and Designs.","Crafts","Crafts","USD","3/5/13",2000,"1/4/13 3:27",945,"failed",28,"US",945
"73",371989547,"MixmeN Hyperworld (Take 2)","Comic Books","Comics","USD","12/3/14",3900,"10/29/14 0:22",266,"failed",13,"US",266
"74",1843997489,"War Pigs -  WWII Action and Adventure","Action","Film & Video","USD","3/2/15",6000,"2/9/15 0:54",9904,"successful",71,"US",9904
"75",2126925126,"Pampered People and Pooches Cafe","Food","Food","USD","3/26/15",85000,"2/24/15 1:00",37,"failed",3,"US",37
"76",532536573,"The Tier","Fiction","Publishing","CAD","7/22/15",7000,"6/22/15 3:23",1410,"failed",18,"CA",1149.83
"77",10024998,"Casper & The Bad Spirits LP Funding","Indie Rock","Music","USD","12/16/14",5000,"11/13/14 4:16",5189,"successful",59,"US",5189
"78",200415874,"Let Charlie Oxford's VOICE Be Heard!!","Pop","Music","USD","9/3/11",10000,"7/25/11 18:33",10610.67,"successful",88,"US",10610.67
"79",1932417354,"Rendezvous","Apps","Technology","USD","10/25/16",195000,"8/27/16 0:51",1,"failed",1,"US",0
"80",344728269,"Bridge to the beautiful","Rock","Music","USD","12/2/12",5000,"10/3/12 3:11",76,"failed",6,"US",76
"81",24399294,"Tuning My Way: online automotive series on how to tune cars!","Webseries","Film & Video","USD","2/16/15",1e+05,"1/5/15 22:11",107,"failed",6,"US",107
"82",2137657893,"WEB-SERIES PILOTS: FRIDAY NIGHT LOITERING","Webseries","Film & Video","USD","5/12/14",8000,"4/12/14 6:46",0,"failed",0,"US",0
"83",654211359,"Warlocks Spellbook: Beautifully Crafted-RPG Metal Dice Box","Tabletop Games","Games","USD","6/25/16",2000,"5/26/16 3:49",5234,"successful",122,"US",5234
"84",1797959102,"OaSense: Shower Sensibly","Hardware","Technology","USD","5/15/16",75000,"4/15/16 18:55",33873,"failed",118,"US",33873
"85",1388986850,"Help Nadia Get A Publicist For Her New Record "" The Circus Is Back In Town"" (Canceled)","Indie Rock","Music","USD","5/4/10",10,"3/14/10 18:27",0,"canceled",0,"US",0
"86",793563304,"Code&Quill - The Monolith Notebook","Product Design","Design","USD","6/23/16",20500,"5/23/16 19:27",21624,"successful",397,"US",21624
"87",750146637,"Save Indie Game Site: GameTunnel.com","Video Games","Games","USD","4/22/11",3500,"3/2/11 22:12",3609,"successful",34,"US",3609
"88",619537999,"USDA Kitchen and Butcher Shop for Local Farm Hub","Farms","Food","USD","1/17/17",89000,"12/18/16 1:41",11470,"failed",50,"US",2400
"89",1329878655,"Honey Bee Conservation","Food","Food","USD","7/1/14",1200,"6/1/14 17:04",547,"failed",14,"US",547
"90",1194274682,"THE PRESIDENT CLOCK","Product Design","Design","USD","1/6/17",40000,"12/7/16 18:09",2260,"canceled",20,"US",1935
"91",840388638,"One Step Beyond Reason","Rock","Music","USD","12/31/11",1100,"11/16/11 21:55",80,"failed",2,"US",80
"92",682752189,"Help fund Harbour's debut record!","Music","Music","USD","5/13/15",6000,"4/13/15 22:49",6146,"undefined",0,"N,0""",NA
"93",1738458263,"Dear Dinosaur - webcomic collection - Volume 1","Comics","Comics","USD","5/12/12",850,"3/30/12 0:29",1200,"successful",49,"US",1200
"94",1526631256,"Dúo del Sol's first EP","World Music","Music","USD","12/10/11",2500,"10/26/11 5:19",3795,"successful",41,"US",3795
"95",40559153,"All Things Cryptocurrency","Radio & Podcasts","Publishing","GBP","11/9/17",2e+05,"10/10/17 7:47",51,"failed",2,"GB",0
"96",1730900306,"A Fistful of Dinero","Tabletop Games","Games","USD","7/23/14",10000,"6/23/14 21:09",10009.18,"successful",224,"US",10009.18
"97",996134255,"96 HEARTBEATS - 96 HEARTFELT PORTRAITS - 96 DAYS","Painting","Art","USD","5/17/13",3000,"4/26/13 23:23",3511.55,"successful",35,"US",3511.55
"98",1626253,"A Little This, A Little That","Pop","Music","USD","4/22/14",10000,"3/18/14 19:03",765,"failed",16,"US",765
"99",1988058717,"KINGDOM OF THE UNRATED","Fashion","Fashion","USD","8/11/14",5000,"7/12/14 0:01",0,"failed",0,"US",0
"100",2105672031,"Tailgator™ - The Fast-Play Golf Towel","Product Design","Design","CAD","5/1/16",4500,"4/11/16 21:18",56,"failed",9,"CA",43.12
"101",1378550900,"Psychopathy - And Why You Need To Know (Canceled)","Documentary","Film & Video","USD","3/1/12",60000,"1/7/12 3:53",6599,"canceled",79,"US",6599
"102",1588722966,"Unique Handcrafted Exotic Wooden Pens & Keychains","Product Design","Design","USD","7/9/14",800,"6/19/14 21:04",890,"successful",19,"US",890
"103",56267668,"summer rental website-real estate","Technology","Technology","USD","5/18/17",50000,"4/8/17 20:20",1,"failed",1,"US",25
"104",543223927,"Under The Covers Mix-tape by EveryThing Fresh","Music","Music","USD","3/31/12",800,"3/6/12 20:12",0,"failed",0,"US",0
"105",709844181,"""The Fantasy"" A Short Film by Bob Diven","Comedy","Film & Video","USD","7/10/14",750,"6/25/14 20:14",1100,"successful",22,"US",1100
"106",1523069222,"Nelson and the Magic Cauldron - a classic adventure game","Video Games","Games","EUR","6/10/16",39000,"5/11/16 22:19",382,"canceled",12,"DE",434.67
"107",984146876,"Britecase 8-In-1 IPhone 4/4S & 5 Case + APP Customization","Product Design","Design","USD","8/31/12",25000,"7/23/12 19:02",8370,"failed",54,"US",8370
"108",2055685053,"X-Out Book Series","Fiction","Publishing","CAD","12/1/15",3830,"10/31/15 0:39",101,"failed",3,"CA",76.46
"109",86852576,"Who wants The Supper Club to come to the South West?","Restaurants","Food","AUD","10/20/16",1800,"9/29/16 4:50",75,"failed",1,"AU",57.4
"110",219627878,"Scotland Needs Some Serious Dix!","Performance Art","Art","USD","8/7/10",2500,"6/8/10 6:08",2630,"successful",48,"US",2630
"111",1428350583,"New Creation NYC","Food","Food","USD","12/13/12",50000,"11/22/12 9:49",15000,"failed",219,"US",15000
"112",1135624376,"Bamboo Bites - Sticky Rice, Snacks and Streetfoods!","Food","Food","USD","10/23/15",5000,"9/22/15 3:45",42,"failed",1,"US",42
"113",261641139,"Facing Hell : DC","Photography","Photography","USD","4/6/14",15000,"3/7/14 23:24",2843.62,"failed",32,"US",2843.62
"114",1203375045,"GSD (Canceled)","Fiction","Publishing","GBP","4/11/15",1000,"3/12/15 17:42",0,"canceled",0,"GB",0
"115",355674685,"The Platform For Independent Artists (Internet Based Radio)","Radio & Podcasts","Publishing","USD","2/12/14",15000,"1/13/14 15:41",0,"failed",0,"US",0
"116",1933295967,"Black Mantis","Shorts","Film & Video","USD","8/25/15",3500,"7/26/15 1:45",695,"failed",9,"US",695
"117",1947493159,"Big Hands Little City - Crime Series Pilot Episode","Webseries","Film & Video","USD","7/19/13",4950,"6/21/13 3:46",330,"failed",5,"US",330
"118",712193095,"Is It Me? - hits the stage February 8 -10, 2013","Theater","Theater","USD","1/13/13",5000,"12/14/12 15:43",20,"failed",1,"US",20
"119",1130627318,"Smoothies (Canceled)","Drinks","Food","USD","4/15/15",10,"3/16/15 22:07",55,"canceled",2,"US",55
"120",2121220432,"Kilebu Congo","World Music","Music","USD","5/22/14",2000,"4/22/14 6:04",105,"failed",2,"US",105
"121",1018037658,"Scuttle: Handmade Cuteness","Product Design","Design","USD","7/28/10",2500,"6/17/10 3:25",130,"failed",5,"US",130
"122",641559264,"Artful Dice Towers & Accurate Laser Line of Sight for Games!","Technology","Technology","CAD","9/5/16",10000,"8/6/16 21:27",891,"canceled",14,"CA",135.84
"123",496834174,"Echo Recon War (Canceled)","Webseries","Film & Video","USD","8/22/12",2000,"6/23/12 8:46",50,"canceled",2,"US",50
"124",700711982,"Treasured Memories Journals","Publishing","Publishing","GBP","9/3/15",350,"8/4/15 18:35",49,"failed",3,"GB",76.54
"125",341602077,"Custom Romances","Fiction","Publishing","USD","8/31/14",500,"7/2/14 0:31",548,"successful",10,"US",548
"126",820916439,"White (on the inside) Christmas","Shorts","Film & Video","USD","10/23/10",2000,"9/20/10 8:54",2056,"successful",23,"US",2056
"127",619653818,"Big D's Steaks (Canceled)","Events","Food","USD","8/26/14",5000,"8/5/14 17:42",50,"canceled",1,"US",50
"128",1965276055,"SpringFest2k15","Art","Art","USD","4/5/15",2500,"2/4/15 2:18",176,"failed",7,"US",176
"129",1122553522,"Watchers of Worlds","Fiction","Publishing","USD","10/10/12",5000,"9/25/12 18:31",70,"failed",3,"US",70
"130",1317690439,"Special Diet Freeze Dried Food Packs","Farmer's Markets","Food","USD","2/26/16",6000,"1/27/16 4:10",61,"failed",2,"US",61
"131",195887550,"Tuff Like You","Nonfiction","Publishing","USD","12/10/11",8000,"10/11/11 18:40",1665,"failed",48,"US",1665
"132",1252195287,"My Life As Isabella","Film & Video","Film & Video","EUR","10/28/16",500,"10/5/16 23:01",1,"failed",1,"NL",0
"133",1180342997,"Jack Spicer's Billy The Kid","Theater","Theater","USD","7/25/14",3500,"6/22/14 20:28",4013,"successful",75,"US",4013
"134",2068368271,"Tiny Town - Bridging the gap","Architecture","Design","USD","3/15/15",4e+05,"1/29/15 21:16",413,"failed",10,"US",413
"135",1956782508,"T2029: Terminator 2 Board Game","Tabletop Games","Games","AUD","10/25/17",50000,"9/25/17 13:00",31296,"canceled",434,"AU",9881.29
"136",508382866,"T-shirts For Lovers of Beef","Fashion","Fashion","GBP","4/4/13",2750,"3/5/13 0:09",14,"failed",1,"GB",21.05
"137",1940068687,"Song Dogs Recapture the Wild Country!","Indie Rock","Music","USD","6/9/12",5500,"5/3/12 15:17",6005.55,"successful",88,"US",6005.55
"138",966720173,"100% Natuurlijk Genieten","Crafts","Crafts","EUR","12/12/14",12000,"11/12/14 12:28",1360,"failed",7,"NL",1691.02
"139",1088610386,"A Shadow Named Envy","Shorts","Film & Video","GBP","3/8/17",2000,"1/7/17 22:43",0,"canceled",0,"GB",0
"140",893025074,"CAKE Comedy Tour NASHVILLE, TN!","Music","Music","USD","3/20/17",1000,"3/11/17 1:49",1101,"successful",15,"US",61
"141",507875858,"Being Grateful, Being Attentive, Being Human","Nonfiction","Publishing","USD","3/26/16",7810,"2/10/16 2:07",1551,"failed",9,"US",1551
"142",777116216,"Central Park Walking","Documentary","Film & Video","USD","3/27/13",10000,"2/25/13 16:38",0,"failed",0,"US",0
"143",1094670962,"SERENO Mat","Product Design","Design","USD","1/4/14",7000,"12/5/13 21:26",22,"failed",3,"US",22
"144",1867286783,"Kingdoms: Fitness Adventure Cards Game","Playing Cards","Games","USD","12/13/15",100,"12/8/15 8:05",665,"successful",25,"US",665
"145",424878520,"Drag Dad","Documentary","Film & Video","USD","7/28/12",16000,"7/3/12 2:30",20641.71,"successful",633,"US",20641.71
"146",699805447,"off road photographer","People","Photography","USD","4/17/15",4000,"3/18/15 22:45",0,"failed",0,"US",0
"147",2127488633,"The Sleepy-Time Alphabet Dream Book; Share the Dream!","Children's Books","Publishing","USD","7/21/13",4500,"6/25/13 3:13",497,"failed",22,"US",497
"148",1617859970,"Leave 'em Laughing - The Stand Up Comedy Videogame","Video Games","Games","AUD","11/9/14",3500,"10/10/14 14:19",260,"failed",14,"AU",230.15
"149",52205960,"Be The Robot (BERO)-Bluetooth Controlled Open Source Robot","Technology","Technology","USD","9/30/12",38900,"8/28/12 16:48",46671.01,"successful",334,"US",46671.01
"150",2063909995,"Firmen aufbau von SprottenGames","Publishing","Publishing","EUR","7/28/16",2500,"6/2/16 21:57",0,"failed",0,"DE",0
"151",2104306951,"Peter Squires' New 7"" Record - Recorded by Steve Albini!","Indie Rock","Music","USD","2/1/16",500,"1/5/16 20:40",807,"successful",31,"US",807
"152",1232090542,"Cooking Classes at Kindred Creative Kitchen","Spaces","Food","USD","11/12/17",10000,"10/13/17 0:47",687,"failed",4,"US",22
"153",1150447154,"Go Live Polo Presents - Girls CIF Div. I & II Semi Finals","Webseries","Film & Video","USD","2/25/14",5000,"2/12/14 21:53",2526,"canceled",24,"US",2526
"154",1907074083,"SING ZIMBABWE: a book and cd of traditional choral singing from Zimbabwe","World Music","Music","USD","11/22/10",3000,"10/18/10 19:48",3477,"successful",62,"US",3477
"155",562771634,"Send 'Suniland Inn' to film festivals","Film & Video","Film & Video","USD","2/10/17",1000,"1/11/17 23:27",0,"failed",0,"US",0
"156",1167258331,"YOU release the new Chris Cox Rox CD ""Muddfarm""","Rock","Music","USD","1/23/12",2500,"11/24/11 0:52",975,"failed",29,"US",975
"157",637358597,"Castlecomb","Tabletop Games","Games","USD","5/1/17",10000,"4/1/17 11:42",685,"failed",12,"US",475
"158",894701043,"Strongbox","Software","Technology","CAD","9/26/17",80000,"7/28/17 2:15",216,"failed",5,"CA",0
"159",146899874,"Stonehouse Pepper Co. -  Habanero Sauce","Small Batch","Food","USD","11/6/14",2000,"10/7/14 0:15",262,"failed",12,"US",262
"160",1300957996,"Stroll","Dance","Dance","USD","7/12/10",2000,"5/11/10 4:54",2265,"successful",55,"US",2265
"161",1059742302,"Blacula: Young. Black, and Undead","Theater","Theater","USD","10/15/12",2000,"8/16/12 21:44",2110,"successful",61,"US",2110
"162",259718987,"Get Amy her ultimate coat (Suspended)","Apparel","Fashion","USD","1/19/15",150,"1/16/15 2:42",227,"suspended",15,"US",227
"163",293276633,"Donate to my vlogs!","Webseries","Film & Video","CAD","10/11/17",2500,"9/11/17 22:54",0,"failed",0,"CA",0
"164",700096846,"Cris Gordon | Luxury Apparel","Apparel","Fashion","CAD","5/16/16",7500,"3/17/16 1:01",3,"failed",3,"CA",2.26
"165",985958504,"First Annual West Valley Island Cultural Festival","World Music","Music","USD","9/24/13",1500,"7/26/13 19:45",0,"failed",0,"US",0
"166",1182880297,"Furtherance the Board Game","Tabletop Games","Games","USD","5/5/16",15000,"4/4/16 2:00",2480,"failed",74,"US",2480
"167",28385108,"""Daddy"" at The Hollywood Fringe!!!!","Theater","Theater","USD","5/27/13",1500,"4/27/13 4:59",2120,"successful",23,"US",2120
"168",2069374756,"The Ballad of Genesis and Lady Jaye (Canceled)","Documentary","Film & Video","USD","5/26/10",3000,"2/26/10 0:11",0,"canceled",0,"US",0
"169",1314337056,"The Fall of Max Atom","Comics","Comics","USD","12/4/13",4500,"11/1/13 14:17",936,"failed",42,"US",936
"170",268438609,"DCC RPG: Angels, Daemons & Beings Between Volume 2","Tabletop Games","Games","AUD","10/27/17",3500,"9/27/17 2:00",8372,"successful",172,"AU",1469.88
"171",1013499846,"""Bity"" - Bitcoin app for iOS","Technology","Technology","AUD","6/29/14",7000,"6/15/14 2:14",5,"failed",1,"AU",4.71
"172",428137468,"Money to startup","Apparel","Fashion","USD","2/4/17",2000,"1/5/17 23:38",20,"failed",1,"US",0
"173",1020351613,"The stabilising gym plate","Product Design","Design","GBP","7/8/17",750,"6/8/17 18:04",1,"failed",1,"GB",0
"174",1218234554,"Three voices in Japanese Wind--New Shakuhachi and Koto Music","World Music","Music","USD","6/15/17",8600,"5/16/17 22:15",1040,"failed",13,"US",0
"175",735015769,"Ayatana: A Resting Place","Conceptual Art","Art","USD","1/5/13",475,"12/6/12 0:20",501,"successful",25,"US",501
"176",321224789,"Document the World","People","Photography","USD","5/1/15",10000,"4/1/15 10:25",0,"failed",0,"US",0
"177",264100603,"Field Tactics","Playing Cards","Games","USD","4/19/15",36000,"3/20/15 2:19",771,"failed",8,"US",771
"178",2120192878,"New Music and Vinyl from The Union Electric","Rock","Music","USD","7/14/13",2000,"6/4/13 1:06",2083,"successful",53,"US",2083
"179",1223642352,"Keep the Kuhn Cinema","Theater","Theater","USD","5/13/13",35000,"4/12/13 2:00",35842.19,"successful",350,"US",35842.19
"180",94824942,"Movie-On-A-Stick: Outrageous Food at America's State Fair","Shorts","Film & Video","USD","8/12/12",900,"8/3/12 20:44",2404.11,"successful",60,"US",2404.11
"181",779821545,"Blind Dreams","Pop","Music","EUR","11/13/15",7000,"9/14/15 22:25",0,"failed",0,"ES",0
"182",1489862218,"Grief: A Life in 5 Stages, vol. 3","Publishing","Publishing","USD","2/8/17",500,"1/9/17 16:05",506,"successful",13,"US",59
"183",844936733,"Life Simulator (Canceled)","Video Games","Games","GBP","12/14/15",1,"10/15/15 20:01",62,"canceled",4,"GB",94.7
"184",1027443160,"PUSHING THE LINE","Comedy","Film & Video","USD","12/20/15",2500,"11/20/15 3:57",225,"failed",6,"US",225
"185",660983254,"Restorative Justice: Another Way","Film & Video","Film & Video","EUR","9/5/16",5000,"7/7/16 17:44",5000,"successful",45,"FR",104.95
"186",270274439,"Magic: the Gathering MTG Pricing, Trading and Collecting App","Games","Games","USD","2/19/15",10000,"1/20/15 22:01",20299.5,"successful",320,"US",20299.5
"187",417736095,"saint rafael italian new brand","Fashion","Fashion","EUR","2/14/16",1e+06,"1/15/16 21:58",0,"failed",0,"IT",0
"188",228779972,"Kastanza's First Full Length Album!!","Rock","Music","USD","3/19/14",500,"1/23/14 3:26",190,"failed",9,"US",190
"189",1401283693,"Freedom Bracelet","Accessories","Fashion","USD","9/15/14",3500,"8/16/14 18:08",616,"failed",3,"US",616
"190",1591586850,"The Way of the Lucid Dreamer (Canceled)","Nonfiction","Publishing","USD","6/7/14",3000,"5/3/14 5:38",180,"canceled",12,"US",180
"191",1297828089,"Art's Therapy","Documentary","Film & Video","USD","6/3/13",6000,"5/4/13 0:09",178,"failed",8,"US",178
"192",1703996304,"Reckoning","Metal","Music","USD","9/28/13",1500,"7/31/13 2:31",467,"failed",13,"US",467
