,Unnamed: 0,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd.pledged,campaign_duration
1859,1860,1013326103,Kreativ - A Cooperative Workspace,Art,Art,USD,2011-04-04 00:00:00,3000.0,2011-03-04 02:41:00,3235.67,successful,69.0,US,3235.67,30
1860,1861,384720015,Linedanserinde - den moderne kvindes stress,Nonfiction,Publishing,DKK,2017-07-09 00:00:00,25000.0,2017-06-09 18:00:00,5495.0,failed,19.0,DK,249.07,29
1861,1862,760278769,"COLOR ME OBSESSED, the potentially true story of The Replacements - phase 3 (LA time)",Film & Video,Film & Video,USD,2010-06-24 00:00:00,750.0,2010-05-04 17:08:00,4624.0,successful,18.0,US,4624.0,50
1862,1863,388630678,Dentistixs for Humans,Food,Food,USD,2016-07-22 00:00:00,6000.0,2016-05-23 18:04:00,2.0,failed,2.0,US,1.0,59
1863,1864,1255427044,TEXTpert,Software,Technology,USD,2015-01-04 00:00:00,10000.0,2014-11-25 21:01:00,1.0,failed,1.0,US,1.0,39
1864,1865,964646153,IIS2IIS : A fun real-time news gathering democratizing tool.,Apps,Technology,CAD,2014-10-20 00:00:00,87000.0,2014-09-06 22:49:00,5485.0,failed,2.0,CA,5041.22,43
1865,1866,205791352,The WoodStock All-Stars,Children's Books,Publishing,USD,2013-09-20 00:00:00,3000.0,2013-08-21 17:36:00,160.0,failed,9.0,US,160.0,29
1866,1867,1777902246,Void Mice: Boomtown,Tabletop Games,Games,USD,2015-04-14 00:00:00,5000.0,2015-03-17 11:40:00,1523.0,failed,45.0,US,1523.0,27
1867,1868,1986130256,"Inside The Outlander Gathering in Cologne, Germany 2016",Publishing,Publishing,DKK,2016-01-03 00:00:00,5000.0,2015-11-19 17:44:00,0.0,failed,0.0,DK,0.0,44
1868,1869,538666563,"""Other Side of the Rainbow""",Theater,Theater,USD,2012-04-29 00:00:00,5000.0,2012-03-30 17:12:00,105.0,failed,4.0,US,105.0,29
1869,1870,968981282,Harvard-Radcliffe Orchestra 2017 Argentina Tour,Classical Music,Music,USD,2017-03-21 00:00:00,25000.0,2017-02-19 22:45:00,31335.0,successful,125.0,US,200.0,29
1870,1871,242561746,Born Of Fire: An Elemental Saga,Fiction,Publishing,USD,2013-12-27 00:00:00,7000.0,2013-11-27 06:04:00,96.0,failed,6.0,US,96.0,29
1871,1872,1019198906,Scream in a Box!,Design,Design,USD,2016-04-23 00:00:00,30000.0,2016-04-06 22:04:00,120.0,failed,12.0,US,120.0,16
1872,1873,1315888413,Round 2 Funding for Untitled Steamboat Pictures Project,Documentary,Film & Video,USD,2012-03-29 00:00:00,5000.0,2012-02-28 01:39:00,0.0,failed,0.0,US,0.0,29
1873,1874,232519340,KLEE ; PRECIOUS FOR MEN,Product Design,Design,USD,2016-08-12 00:00:00,20000.0,2016-07-13 07:02:00,201.0,failed,3.0,US,325.0,29
1874,1875,63768912,Gridiron Head-2-Head: Tackling Predictions,Games,Games,USD,2014-08-27 00:00:00,10000.0,2014-07-28 21:43:00,517.0,failed,10.0,US,517.0,29
1875,1876,552898763,DigiPixel. An LED Game Shield For Your Arduino or Digispark.,DIY Electronics,Technology,AUD,2014-01-10 00:00:00,10000.0,2013-12-10 12:11:00,14946.0,successful,557.0,AU,13620.62,30
1876,1877,1806386462,Pineabowl (Canceled),Food Trucks,Food,USD,2014-09-03 00:00:00,100.0,2014-08-04 14:42:00,0.0,canceled,0.0,US,0.0,29
1877,1878,1656556354,Decentralized Dance Party- LAWRENCE EDITION!,Public Art,Art,USD,2012-02-10 00:00:00,1000.0,2011-12-12 17:08:00,348.0,failed,15.0,US,348.0,59
1878,1879,206790804,Tiger Junior: Kids Golf On TV,Film & Video,Film & Video,USD,2014-05-10 00:00:00,5000.0,2014-04-10 22:04:00,12.0,failed,3.0,US,12.0,29
1879,1880,9022135,The Gods of Pick 'N' Mix,Immersive,Theater,GBP,2015-07-22 00:00:00,500.0,2015-07-08 12:10:00,665.0,successful,34.0,GB,1036.78,13
1880,1881,1618609508,Collin Mills - Goin' To Nashville,Country & Folk,Music,USD,2016-10-11 00:00:00,1000.0,2016-09-26 00:57:00,151.0,failed,3.0,US,100.0,14
1881,1882,1235083265,Cross Border Art: Art Exchange New Orleans and Hong Kong,Public Art,Art,USD,2011-11-09 00:00:00,12000.0,2011-09-25 04:56:00,2608.0,failed,30.0,US,2608.0,44
1882,1883,558728332,"Creative art, painting and mixed media",Art,Art,AUD,2014-08-08 00:00:00,200.0,2014-07-09 01:13:00,10.0,failed,1.0,AU,9.35,29
1883,1884,2060677342,"THE STAND: Simple, Elegant and Meaningful Computer Stand",Product Design,Design,GBP,2017-05-19 00:00:00,4000.0,2017-04-19 11:54:00,1250.0,failed,10.0,GB,517.62,29
1884,1885,50821257,Virtual Reality - 360 Real Footage Hiking Game (Canceled),Technology,Technology,DKK,2016-03-26 00:00:00,823000.0,2016-02-25 12:43:00,650.0,canceled,1.0,DK,95.99,29
1885,1886,336623999,"BEN*JAM: National Radio Release - half paid,need remainder",Country & Folk,Music,USD,2012-06-02 00:00:00,1000.0,2012-05-03 00:03:00,0.0,canceled,0.0,US,0.0,29
1886,1887,1925199529,TWM Performance ULTIMATE Designer Titanium Racing Lug Nuts!,Design,Design,CAD,2013-11-19 00:00:00,30000.0,2013-10-29 12:28:00,285.0,canceled,4.0,CA,272.91,20
1887,1888,172088720,SURGE - 'LOVEBLOOD' 7'' Coloured Vinyl Single Release,Indie Rock,Music,GBP,2015-08-11 00:00:00,170.0,2015-07-12 23:07:00,285.0,successful,21.0,GB,442.3,29
1888,1889,530807261,The Seventh Blade PC/Mobile game,Games,Games,USD,2016-09-19 00:00:00,20000.0,2016-08-20 23:13:00,59.0,failed,6.0,US,2.0,29
1889,1890,1823073788,Ribbons of War,Theater,Theater,USD,2013-01-19 00:00:00,3500.0,2012-12-23 10:38:00,3566.0,successful,54.0,US,3566.0,26
1890,1891,1734972281,Help Save the Historic Wilmette Theatre,Theater,Theater,USD,2014-05-01 00:00:00,70000.0,2014-03-31 23:08:00,87436.22,successful,629.0,US,87436.22,30
1891,1892,951936561,Bee's Hive Sanctuary: A Different Kind of Beekeeper,Documentary,Film & Video,USD,2017-01-03 00:00:00,47610.0,2016-12-04 02:12:00,26.0,failed,2.0,US,1.0,29
1892,1893,1873617624,Lukas Pool's First Album,Country & Folk,Music,USD,2014-04-14 00:00:00,5500.0,2014-03-05 19:57:00,7410.73,successful,133.0,US,7410.73,39
1893,1894,566999768,Light: A Radiant History from Creation to the Quantum Age,Nonfiction,Publishing,USD,2016-07-25 00:00:00,2500.0,2016-06-25 17:05:00,2510.0,successful,15.0,US,1590.0,29
1894,1895,1869737596,PETITEPAKS: Leak-free makeup case,Accessories,Fashion,USD,2017-08-11 00:00:00,3500.0,2017-07-12 02:51:00,403.0,failed,12.0,US,22.0,29
1895,1896,1450945549,Rocky Mountain APEX-CAMP Modular Outdoor Living Camping Tent,Product Design,Design,USD,2017-01-31 00:00:00,5000.0,2016-12-22 16:58:00,1097.0,failed,4.0,US,41.0,39
1896,1897,1412412647,WildCoin - A Cryptocurrency for Wildlife Conservation,Software,Technology,GBP,2018-01-01 00:00:00,10000.0,2017-11-13 21:25:00,326.0,failed,9.0,GB,0.0,48
1897,1898,1232500799,La Brecha Tequila. The Breakthrough in Premium Tequila.,Drinks,Food,USD,2016-09-11 00:00:00,73448.0,2016-08-08 16:30:00,10287.0,failed,28.0,US,100.0,33
1898,1899,1618456068,Smart & Secure Fast-Charge USB Cable and Adapter,Hardware,Technology,USD,2015-04-03 00:00:00,10000.0,2015-02-27 08:40:00,14374.0,successful,722.0,US,14374.0,34
1899,1900,688819053,Fehrensen Farm,Food,Food,USD,2014-03-14 00:00:00,25000.0,2014-01-13 17:53:00,561.0,failed,24.0,US,561.0,59
1900,1901,475791263,The Barking Flashlight Guard (BFG),Gadgets,Technology,USD,2016-09-28 00:00:00,26000.0,2016-08-29 17:03:00,126.0,failed,4.0,US,125.0,29
1901,1902,2068808678,Digital Distribution - Musik Promotion für neu Einsteiger,Music,Music,EUR,2015-06-11 00:00:00,2000.0,2015-06-01 17:23:00,0.0,undefined,0.0,"N,0""",5941.682122905027,9
1902,1903,1648824742,Mom's Family Favorite Yeast Recipes - Essentials and Treats,Nonfiction,Publishing,USD,2012-12-10 00:00:00,450.0,2012-11-26 21:20:00,0.0,failed,0.0,US,0.0,13
1903,1904,9896060,Bliss Premium Yogurt,Small Batch,Food,USD,2016-06-21 00:00:00,30000.0,2016-05-22 00:47:00,15.0,failed,1.0,US,15.0,29
1904,1905,1686821048,CM Ceez,Hip-Hop,Music,USD,2016-02-05 00:00:00,50000.0,2016-01-06 19:50:00,0.0,failed,0.0,US,0.0,29
1905,1906,116632787,Scraps,Shorts,Film & Video,USD,2011-09-04 00:00:00,500.0,2011-07-06 23:30:00,636.0,successful,17.0,US,636.0,59
1906,1907,1793343028,Salaam America - A Documentary About Muslim Americans,Journalism,Journalism,USD,2010-10-10 00:00:00,3000.0,2010-09-10 18:32:00,3065.49,successful,95.0,US,3065.49,29
1907,1908,1486314626,The Stolen Button,Young Adult,Publishing,AUD,2017-06-16 00:00:00,6600.0,2017-05-15 11:41:00,6618.0,successful,104.0,AU,25.85,31
1908,1909,1003538517,Pollock l’acchiappa-panzane,Video,Journalism,EUR,2015-08-01 00:00:00,10000.0,2015-06-30 08:04:00,11516.99,successful,228.0,IT,12682.18,31
1909,1910,1184819845,Programme en ligne l'art du mouvement,Television,Film & Video,CAD,2017-06-14 00:00:00,15000.0,2017-05-15 18:39:00,26518.0,successful,263.0,CA,0.0,29
1910,1911,1918693477,TOM LIVE GAMES - Juegos en vivo,Live Games,Games,MXN,2017-06-15 00:00:00,100000.0,2017-05-16 00:49:00,2300.0,canceled,3.0,MX,0.0,29
1911,1912,1133159023,TVman Auto: WiFi entertainment in your car,Technology,Technology,EUR,2017-01-04 00:00:00,5000.0,2016-12-09 03:41:00,812.0,failed,11.0,FR,156.28,25
1912,1913,1756979258,Cut The Blank (Canceled),Webseries,Film & Video,USD,2012-12-17 00:00:00,15000.0,2012-11-27 20:57:00,1703.23,canceled,38.0,US,1703.23,19
1913,1914,488469941,Illegal by Jeremy Whitley and Heather Nunnelly,Comic Books,Comics,USD,2014-09-06 00:00:00,6000.0,2014-08-07 22:58:00,9878.0,successful,353.0,US,9878.0,29
1914,1915,310910662,Lynda Kay - The Soundtrack Sessions,Music,Music,USD,2013-02-04 00:00:00,12000.0,2013-01-05 19:02:00,1097.0,failed,43.0,US,1097.0,29
1915,1916,1391647543,Renaissance Kings (Canceled),Documentary,Film & Video,USD,2011-06-22 00:00:00,25000.0,2011-03-23 04:28:00,510.0,canceled,6.0,US,510.0,90
1916,1917,832092481,Taz and Cave Man - the movie,Film & Video,Film & Video,USD,2011-04-30 00:00:00,2000.0,2011-03-15 06:45:00,2585.0,successful,37.0,US,2585.0,45
1917,1918,782579974,VOX Performing Arts: A NEW kind of music school.,Pop,Music,USD,2013-01-08 00:00:00,2000.0,2012-12-13 02:29:00,2000.0,successful,20.0,US,2000.0,25
1918,1919,972461830,S(her)lock: The Web Series,Webseries,Film & Video,USD,2015-01-17 00:00:00,5000.0,2014-12-18 00:12:00,6056.0,successful,178.0,US,6056.0,29
1919,1920,648176652,jtdutf6ru (Suspended),Gadgets,Technology,GBP,2015-08-05 00:00:00,5000.0,2015-07-06 18:35:00,0.0,suspended,0.0,GB,0.0,29
1920,1921,2042107453,VINTAGE DICTIONARY WALL PRINTS,Graphic Design,Design,USD,2012-11-30 00:00:00,200.0,2012-10-31 03:06:00,2158.0,successful,81.0,US,2158.0,29
1921,1922,933551315,Interview With The Fetish Model,Documentary,Film & Video,USD,2017-08-11 00:00:00,8000.0,2017-07-28 23:57:00,35.0,failed,2.0,US,25.0,13
1922,1923,943014165,"GLORY ON THE FLOOR - debut album ""Asheville Skyline""",Country & Folk,Music,USD,2012-04-29 00:00:00,3000.0,2012-04-05 02:40:00,3570.0,successful,62.0,US,3570.0,23
1923,1924,1173475160,felnet - Your New Social Network,Web,Technology,EUR,2015-10-08 00:00:00,3500.0,2015-10-02 07:10:00,30.0,failed,1.0,AT,33.49,5
1924,1925,151412498,Boxly: The Cardboard Fort-Building Kit,Product Design,Design,USD,2015-06-18 00:00:00,30000.0,2015-05-19 17:24:00,31425.0,successful,341.0,US,31425.0,29
1925,1926,15332886,Spirare Sustainable Surf Craft ,Design,Design,USD,2011-04-17 00:00:00,3200.0,2011-01-16 23:43:00,3899.35,successful,68.0,US,3899.35,90
1926,1927,1385122518,Afterimage,Video Games,Games,USD,2014-11-20 00:00:00,20000.0,2014-10-10 10:06:00,1865.0,failed,13.0,US,1865.0,40
1927,1928,93198238,Keep 4heads and Governors Island Art Fair Strong & Strange!,Art,Art,USD,2014-10-06 00:00:00,15000.0,2014-09-06 14:39:00,20286.29,successful,179.0,US,20286.29,29
1928,1929,1778652963,Help bring SSC's inaugural production to the stage,Plays,Theater,USD,2015-08-12 00:00:00,6000.0,2015-06-23 03:21:00,0.0,canceled,0.0,US,0.0,49
1929,1930,1045991827,CHICAGO Photo Project: The Raw Side of the Chi (Canceled),Photography,Photography,USD,2014-01-19 00:00:00,6000.0,2013-12-20 17:12:00,0.0,canceled,0.0,US,0.0,29
1930,1931,956201267,Rudimate Drum Transcriber App for Android & IOS,Apps,Technology,USD,2016-05-23 00:00:00,55000.0,2016-04-23 01:54:00,85.0,failed,4.0,US,85.0,29
1931,1932,1137291579,After Dark,Narrative Film,Film & Video,USD,2012-04-18 00:00:00,3000.0,2012-03-09 03:34:00,3012.45,successful,26.0,US,3012.45,39
1932,1933,1974076117,The Containment Act,Fiction,Publishing,GBP,2016-02-27 00:00:00,14000.0,2016-01-30 23:31:00,5.0,failed,1.0,GB,7.18,27
1933,1934,1083243534,Project Happy Hearts: Delivering Happiness,Product Design,Design,USD,2015-06-04 00:00:00,25000.0,2015-05-05 02:04:00,25214.0,successful,115.0,US,25214.0,29
1934,1935,1909617432,Python Cords - Protect & Organize your Mac & PC Charger,Product Design,Design,USD,2014-05-18 00:00:00,5000.0,2014-04-18 21:14:00,21258.0,successful,1446.0,US,21258.0,29
1935,1936,2041584857,Anthurium - Web-series Pilot,Webseries,Film & Video,GBP,2014-03-24 00:00:00,400.0,2014-03-04 14:28:00,400.0,successful,20.0,GB,669.82,19
1936,1937,15764326,Youtube Jumpstart,Webseries,Film & Video,USD,2014-08-07 00:00:00,5000.0,2014-07-08 22:13:00,0.0,failed,0.0,US,0.0,29
1937,1938,1724485022,Our Family (Nuestro Familia),Children's Books,Publishing,USD,2015-02-27 00:00:00,5000.0,2015-01-28 22:01:00,218.0,failed,4.0,US,218.0,29
1938,1939,233593935,Hats for more yarn !,Crochet,Crafts,CAD,2017-04-17 00:00:00,100.0,2017-03-28 02:54:00,100.0,successful,2.0,CA,17.94,19
1939,1940,1873927865,KJ DJ- a local DJ for the Four Corners,Music,Music,USD,2015-04-18 00:00:00,3100.0,2015-03-14 01:37:00,150.0,undefined,0.0,"N,0""",5941.682122905027,34
1940,1941,1697746049,Elaenor Brewing Company,Events,Food,USD,2015-11-12 00:00:00,10000.0,2015-09-15 00:26:00,0.0,failed,0.0,US,0.0,57
1941,1942,2118508766,Drum Spiral,Public Art,Art,USD,2012-03-29 00:00:00,1500.0,2012-02-28 05:33:00,1709.0,successful,28.0,US,1709.0,29
1942,1943,2007310254,The Great British 'Wool Rampage',Documentary,Film & Video,GBP,2016-07-31 00:00:00,5000.0,2016-07-02 09:24:00,1570.0,failed,23.0,GB,1534.27,28
1943,1944,817943738,All Ears Mobile Elephant Ears Pastries,Food,Food,USD,2011-07-17 00:00:00,6000.0,2011-05-18 07:43:00,25.0,failed,2.0,US,25.0,59
1944,1945,402592965,"""It's Not That Serious"" E.P. Pre-order",Pop,Music,USD,2011-09-03 00:00:00,2500.0,2011-07-05 23:34:00,785.0,failed,17.0,US,785.0,59
1945,1946,752645784,Sushi For Kittens,Food,Food,USD,2014-08-08 00:00:00,5.0,2014-07-09 17:36:00,20.0,successful,6.0,US,20.0,29
1946,1947,2049173780,DMCA Ninja - Intellectual Property Protection System Project,Web,Technology,USD,2015-06-08 00:00:00,75000.0,2015-04-09 03:57:00,0.0,failed,0.0,US,0.0,59
1947,1948,1969684970,Mobile launcher Apollo Saturn model kit,Crafts,Crafts,EUR,2015-03-01 00:00:00,10000.0,2015-01-30 20:00:00,14271.0,successful,26.0,NL,16097.01,29
1948,1949,1190410108,RAZERGON VR - Simplicity is the new complexity,Hardware,Technology,HKD,2017-11-02 00:00:00,391000.0,2017-10-03 15:57:00,17124.0,failed,10.0,HK,1363.68,29
1949,1950,1745361783,Living  with Alzheimer's,Nonfiction,Publishing,USD,2013-03-23 00:00:00,12000.0,2013-02-21 22:21:00,70.0,failed,2.0,US,70.0,29
1950,1951,818865761,Brooklyn and the Vanguard,Film & Video,Film & Video,USD,2012-05-04 00:00:00,300.0,2012-04-04 00:39:00,0.0,failed,0.0,US,0.0,29
